method,n,size,repeats,adjusted,mmae,std,prec,rec,f1,acc
cosine,79,100,10,nonadjusted,3.4177680349321653,0.307938329594532,0.5665236051502146,0.48,0.5196850393700788,0.756
cosine,89,100,10,nonadjusted,3.354678977926793,0.21372170042435482,0.5545851528384279,0.4568345323741007,0.5009861932938856,0.747
cosine,87,100,10,adjusted,3.243366401269617,0.33616535565468186,0.7948717948717948,0.2339622641509434,0.36151603498542273,0.781
pearson,69,100,10,nonadjusted,3.5861635210569167,0.22618101045258296,0.5671641791044776,0.15510204081632653,0.24358974358974358,0.764
pearson,99,100,10,nonadjusted,3.693288997815779,0.1802431599312458,0.574468085106383,0.1111111111111111,0.18620689655172415,0.764
cosine,37,100,10,adjusted,3.136573174158409,0.22841353768816097,0.7530864197530864,0.23461538461538461,0.3577712609970674,0.781
pearson,40,100,10,adjusted,3.1501504844165154,0.18503429709496932,0.6210526315789474,0.251063829787234,0.3575757575757576,0.788
pearson,15,100,10,adjusted,3.1827599906531665,0.18566308975264575,0.7407407407407407,0.30303030303030304,0.4301075268817205,0.788
cosine,62,100,10,adjusted,3.213236630646654,0.2201296368874446,0.8356164383561644,0.23552123552123552,0.3674698795180723,0.79
cosine,80,100,10,adjusted,3.2438758652514315,0.30976332482004726,0.8333333333333334,0.2559055118110236,0.3915662650602409,0.798
pearson,8,100,10,adjusted,3.192029699956238,0.2536608288999551,0.7194244604316546,0.3816793893129771,0.49875311720698257,0.799
pearson,3,100,10,nonadjusted,4.118072368427278,0.26006256865897626,0.4134078212290503,0.31759656652360513,0.3592233009708738,0.736
pearson,8,100,10,nonadjusted,3.5698565531783886,0.32210462845527166,0.5460992907801419,0.30196078431372547,0.38888888888888884,0.758
pearson,1,100,10,adjusted,4.416879790084049,0.2266677056457641,0.47342995169082125,0.39357429718875503,0.4298245614035088,0.74
cosine,94,100,10,adjusted,3.237238046056892,0.2256261666493828,0.7752808988764045,0.26848249027237353,0.3988439306358381,0.792
cosine,89,100,10,adjusted,3.17111204833341,0.27868165727282174,0.7721518987341772,0.23371647509578544,0.35882352941176465,0.782
cosine,76,100,10,adjusted,3.290158843599245,0.20868359782757714,0.8048780487804879,0.24535315985130113,0.3760683760683761,0.781
pearson,49,100,10,adjusted,3.21291382564284,0.27690539538586245,0.7704918032786885,0.34814814814814815,0.4795918367346939,0.796
cosine,23,100,10,adjusted,3.2393417829137556,0.2708408561447219,0.7524752475247525,0.2835820895522388,0.4119241192411924,0.783
pearson,54,100,10,adjusted,3.2340037826038044,0.3066390521821158,0.8151260504201681,0.3527272727272727,0.49238578680203043,0.8
cosine,64,100,10,nonadjusted,3.354117681562473,0.22330250709313348,0.5491803278688525,0.5173745173745173,0.532803180914513,0.765
pearson,62,100,10,nonadjusted,3.6266538033299662,0.16654084026541,0.6338028169014085,0.17045454545454544,0.26865671641791045,0.755
cosine,93,100,10,adjusted,3.2168182626147406,0.1471423862627413,0.7619047619047619,0.2570281124497992,0.3843843843843843,0.795
cosine,94,100,10,nonadjusted,3.4224667137303975,0.25116651806220586,0.568075117370892,0.4782608695652174,0.5193133047210301,0.776
pearson,92,100,10,nonadjusted,3.6859882916000095,0.2804211313315615,0.5555555555555556,0.14344262295081966,0.2280130293159609,0.763
cosine,17,100,10,nonadjusted,3.40395065251219,0.29231496826892933,0.5695652173913044,0.4962121212121212,0.5303643724696357,0.768
pearson,11,100,10,nonadjusted,3.6500711515533153,0.1600084881532384,0.47572815533980584,0.1814814814814815,0.26273458445040215,0.725
pearson,74,100,10,nonadjusted,3.8048322870697326,0.2988511696807964,0.55,0.1213235294117647,0.19879518072289154,0.734
cosine,72,100,10,nonadjusted,3.376416650282306,0.24149211876029822,0.5916666666666667,0.4982456140350877,0.540952380952381,0.759
pearson,84,100,10,nonadjusted,3.565173407433602,0.2054662420688186,0.5846153846153846,0.15447154471544716,0.24437299035369778,0.765
cosine,82,100,10,nonadjusted,3.3255926490673247,0.24822641374323248,0.5684647302904564,0.5591836734693878,0.5637860082304527,0.788
pearson,6,100,10,adjusted,3.44552465108305,0.2564596271354574,0.6299212598425197,0.31007751937984496,0.4155844155844156,0.775
cosine,39,100,10,adjusted,3.2697609798380753,0.12015912820303216,0.7613636363636364,0.24814814814814815,0.3743016759776536,0.776
cosine,48,100,10,nonadjusted,3.3246821862692726,0.2589451585455984,0.5092592592592593,0.47413793103448276,0.4910714285714286,0.772
